               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032463,            0.049733,           0.0042881,             0.80588,             0.70278,             0.72514,             0.43498,            0.027857,            0.046508,           0.0033145,            0.006535,            0.006535,            0.006535
                  37,            0.031789,            0.049153,           0.0043173,             0.81342,             0.70459,             0.72312,             0.43853,            0.027693,            0.046688,           0.0030808,            0.006436,            0.006436,            0.006436
                  38,             0.03215,            0.049941,           0.0041954,             0.79593,             0.72522,             0.73154,             0.44405,            0.027198,             0.04506,           0.0030902,            0.006337,            0.006337,            0.006337
                  39,            0.031464,            0.048463,           0.0043543,             0.79169,             0.72065,             0.72897,             0.44375,            0.027196,            0.045223,           0.0031349,            0.006238,            0.006238,            0.006238
                  40,            0.031397,            0.048745,           0.0042069,             0.78193,             0.71701,             0.71817,             0.43404,            0.027536,            0.046777,           0.0030152,            0.006139,            0.006139,            0.006139
                  41,            0.031467,            0.049081,            0.004067,             0.84175,             0.68858,             0.73778,             0.45289,            0.027078,            0.044973,           0.0031996,             0.00604,             0.00604,             0.00604
                  42,            0.031124,            0.048507,           0.0040807,             0.81469,             0.71686,             0.74056,             0.45852,             0.02679,             0.04569,           0.0028875,            0.005941,            0.005941,            0.005941
                  43,            0.030964,             0.04871,           0.0038523,             0.83465,              0.7144,             0.74766,             0.46605,            0.026426,            0.044948,           0.0028455,            0.005842,            0.005842,            0.005842
                  44,            0.031029,            0.048166,           0.0037305,             0.83051,             0.71459,              0.7489,              0.4613,            0.026612,             0.04538,           0.0028501,            0.005743,            0.005743,            0.005743
                  45,            0.030386,            0.047932,           0.0035823,              0.8262,             0.72539,              0.7556,              0.4705,            0.026133,            0.044333,           0.0029186,            0.005644,            0.005644,            0.005644
                  46,            0.030647,            0.047073,           0.0035638,             0.83169,             0.74247,             0.76045,             0.47291,             0.02605,            0.043512,           0.0025302,            0.005545,            0.005545,            0.005545
                  47,            0.030123,            0.048961,           0.0034481,             0.85716,             0.71543,             0.76575,              0.4796,            0.026051,            0.043748,           0.0024471,            0.005446,            0.005446,            0.005446
                  48,            0.030755,            0.047416,           0.0035814,             0.83893,             0.73262,             0.75989,             0.47939,             0.02571,            0.042619,           0.0024174,            0.005347,            0.005347,            0.005347
                  49,            0.029897,            0.047036,            0.003652,             0.83658,             0.74068,             0.76484,              0.4829,            0.025654,            0.042891,           0.0023329,            0.005248,            0.005248,            0.005248
                  50,            0.029966,            0.046795,           0.0035825,             0.85573,             0.72587,             0.77379,             0.48959,            0.025671,             0.04236,           0.0026392,            0.005149,            0.005149,            0.005149
                  51,            0.029797,            0.045944,           0.0033452,             0.84018,             0.74459,             0.77023,             0.48687,             0.02562,            0.043036,           0.0023379,             0.00505,             0.00505,             0.00505
                  52,            0.029614,            0.046341,           0.0034068,             0.87545,             0.72296,             0.77332,             0.49146,            0.025465,            0.042131,           0.0021932,            0.004951,            0.004951,            0.004951
                  53,            0.029528,            0.046904,           0.0032269,             0.88293,             0.72284,             0.77929,             0.50189,            0.024914,            0.041669,           0.0021022,            0.004852,            0.004852,            0.004852
                  54,            0.029463,            0.047345,           0.0031494,             0.86751,             0.75751,             0.78517,             0.50518,            0.024968,            0.041117,           0.0020665,            0.004753,            0.004753,            0.004753
                  55,            0.029374,            0.046659,           0.0030874,             0.86311,             0.75063,               0.783,             0.50236,            0.024947,             0.04229,           0.0020622,            0.004654,            0.004654,            0.004654
                  56,            0.029562,             0.04549,           0.0029953,             0.85747,             0.76123,             0.78772,             0.50988,            0.024641,             0.04082,           0.0019418,            0.004555,            0.004555,            0.004555
                  57,            0.028865,            0.046375,           0.0031961,             0.88563,             0.73886,             0.79105,             0.51018,            0.024584,            0.041026,           0.0019825,            0.004456,            0.004456,            0.004456
                  58,            0.029065,            0.045743,           0.0030238,             0.85586,             0.76163,             0.79031,             0.51034,            0.024641,            0.040937,           0.0018527,            0.004357,            0.004357,            0.004357
                  59,            0.028435,            0.045155,           0.0030123,             0.87285,             0.75599,             0.79365,              0.5121,            0.024292,            0.040099,           0.0018969,            0.004258,            0.004258,            0.004258
                  60,              0.0288,            0.043771,           0.0029229,              0.8624,             0.78374,             0.80179,             0.52248,            0.024289,             0.04005,           0.0018395,            0.004159,            0.004159,            0.004159
                  61,            0.028296,            0.045146,           0.0028348,             0.91637,             0.73648,              0.8019,             0.52289,            0.024128,            0.039265,           0.0017836,             0.00406,             0.00406,             0.00406
                  62,            0.028539,              0.0454,           0.0029128,             0.87504,             0.77166,             0.80268,             0.53079,            0.023858,            0.039379,           0.0020314,            0.003961,            0.003961,            0.003961
